Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
60 m²,"7,3 tỷ",4 phòng,4 phòng,"- Sổ đỏ chính chủ, chuẩn pháp lý, sẵn sàng giao dịch.",Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",05/05/2024,"4,5 m",,,Ô tô đỗ cửa full nội thất gỗ tự nhiên.,,
95 m²,36 triệu/m²,3 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Hà Đông,Căn hộ chung cư tại Hồ Gươm Plaza,"Dự án Hồ Gươm Plaza, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",03/05/2024,,,,Cơ bản,,
35 m²,"4,3 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Khương Hạ,"Ngõ 29, Phố Khương Hạ, Phường Khương Trung, Thanh Xuân, Hà Nội",04/05/2024,6 m,2 m,5 tầng,Đầy đủ,,
107 m²,25 tỷ,35 phòng,35 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phường Khương Đình,"Phường Khương Đình, Thanh Xuân, Hà Nội",04/05/2024,,,9 tầng,Nội thất đầy đủ.,,
30 m²,"5,35 tỷ",3 phòng,4 phòng,,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Đức Thắng,"Đường Đức Thắng, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",02/05/2024,,,5 tầng,,,
113 m²,"8,8 tỷ",3 phòng,2 phòng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Matrix One,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",27/04/2024,,,,,,Đông - Bắc
32 m²,"3,25 tỷ",,,,Hà Nội,Hoài Đức,Nhà riêng tại xã Kim Chung,"Xã Kim Chung, Hoài Đức, Hà Nội",02/05/2024,"3,5 m",3 m,5 tầng,"Nội thất gồm có tủ bếp, kệ TV, quạt trần, điều hòa, nóng lạnh.",,
56 m²,"6,9 tỷ",4 phòng,4 phòng,Sổ đỏ.,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Thái Tông,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,,,3 tầng,,,
113 m²,"8,8 tỷ",3 phòng,2 phòng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Matrix One,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",27/04/2024,,,,,,Đông - Bắc
32 m²,"3,25 tỷ",,,,Hà Nội,Hoài Đức,Nhà riêng tại xã Kim Chung,"Xã Kim Chung, Hoài Đức, Hà Nội",02/05/2024,"3,5 m",3 m,5 tầng,"Nội thất gồm có tủ bếp, kệ TV, quạt trần, điều hòa, nóng lạnh.",,
56 m²,"6,9 tỷ",4 phòng,4 phòng,Sổ đỏ.,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Thái Tông,"Đường Trần Thái Tông, Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,,,3 tầng,,,
90 m²,"10,3 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phố Phùng Chí Kiên,"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",30/04/2024,,5 m,5 tầng,,,
70 m²,"12,8 tỷ",19 phòng,19 phòng,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",04/05/2024,16 m,,7 tầng,,,
80 m²,"2,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại phố Mai Dịch,"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",02/05/2024,,,,Đầy đủ,,
60 m²,"19,8 tỷ",4 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phường Nghĩa Đô,"Phường Nghĩa Đô, Cầu Giấy, Hà Nội",30/04/2024,,,5 tầng,Cơ bản,,
32 m²,"16,6 tỷ",5 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Trần Khát Chân,"Đường Trần Khát Chân, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",27/04/2024,"4,3 m",,6 tầng,Đầy đủ,,
42 m²,"15,8 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà riêng tại đường Đào Tấn,"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",07/05/2024,"3,5 m",3 m,5 tầng,Đầy đủ,,
90 m²,Thỏa thuận,16 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Trịnh Văn Bô,"Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội",21/04/2024,,,7 tầng,Đầy đủ,,
131 m²,Thỏa thuận,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Giáp Bát,"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",16/04/2024,8 m,,4 tầng,Cơ bản.,Đông - Nam,Đông - Nam
64 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Sola Park,"Dự án Imperia Sola Park, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",30/04/2024,,,,Đầy đủ.,Tây - Bắc,Đông - Nam
74 m²,"3,5 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Dolphin Plaza,"Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",04/05/2024,,,,Đầy đủ,Bắc,Nam
68 m²,"3,2 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",02/05/2024,,,,Đầy đủ,,
104 m²,"8,7 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"Dự án BRG Diamond Residence, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",24/04/2024,,,,Cơ bản,Đông - Bắc,Tây - Nam
55 m²,10 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà mặt phố tại đường Đa Sỹ,"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",07/05/2024,,,4 tầng,,,
75 m²,"4,1 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra,"Dự án Ciputra Hà Nội, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội.",30/04/2024,,,,Đầy đủ,,
92 m²,"5,1 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại IA20 Ciputra,"Dự án IA20 Ciputra, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,"Đầy đủ nội thất sang, xịn, mịn, gổm 4 điều hoà, quạt đèn, sofa, tủ, gường, bếp, tủ lạnh, máy giặt.",,
45 m²,"9,3 tỷ",6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Nguyễn Hoàng,"Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,"3,6 m",4 m,8 tầng,Đầy đủ,,
70 m²,32 tỷ,3 phòng,5 phòng,Sổ đỏ,Hà Nội,Hà Đông,Nhà mặt phố tại Làng Việt Kiều Châu Âu Euroland,"Dự án Làng Việt Kiều Châu Âu Euroland, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",07/05/2024,14 m,24 m,5 tầng,Đầy đủ,,
45 m²,"9,3 tỷ",6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Nguyễn Hoàng,"Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,"3,6 m",4 m,8 tầng,Đầy đủ,,
70 m²,32 tỷ,3 phòng,5 phòng,Sổ đỏ,Hà Nội,Hà Đông,Nhà mặt phố tại Làng Việt Kiều Châu Âu Euroland,"Dự án Làng Việt Kiều Châu Âu Euroland, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",07/05/2024,14 m,24 m,5 tầng,Đầy đủ,,
31 m²,"6,15 tỷ",3 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Nguyễn Khang,"Đường Nguyễn Khang, Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,,,5 tầng,,,
105 m²,31 tỷ,5 phòng,5 phòng,Sổ đỏ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Quang Trung,"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",07/05/2024,"5,5 m",42 m,5 tầng,Đầy đủ,,
100 m²,"4,8 tỷ",3 phòng,2 phòng,Đang chờ sổ,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ River View,"Dự án Tây Hồ River View, Phố Thượng Thụy, Phường Phú Thượng, Tây Hồ, Hà Nội",07/05/2024,,,,,,
110 m²,"6,69 tỷ",3 phòng,2 phòng,,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Nguyên Hồng,"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,,,,,,
100 m²,"32,9 tỷ",8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",07/05/2024,9 m,,4 tầng,Đầy đủ,,
100 m²,"73,5 tỷ",10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Tô Hiến Thành,"Đường Tô Hiến Thành, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",07/05/2024,8 m,,7 tầng,Đầy đủ,,
80 m²,"12,5 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phường Dịch Vọng,"Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,"6,7 m",,5 tầng,,,
70 m²,25 tỷ,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Láng Hạ,"Phố Láng Hạ, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,"5,5 m",10 m,4 tầng,Đầy đủ,,
103 m²,"31,5 tỷ",6 phòng,8 phòng,"Sổ đỏ vuông đẹp như viên gạch, pháp lý chuẩn sẵn sàng sang tên ngay.",Hà Nội,Hà Đông,Nhà mặt phố tại đường Quang Trung,"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",07/05/2024,"5,4 m",30 m,5 tầng,,,
"226,5 m²",55 triệu/m²,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Golden Field Mỹ Đình,"Dự án Golden Field Mỹ Đình, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",02/05/2024,,,,Đầy đủ - Tôi để lại toàn bộ nội thất.,,
94 m²,"5,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Zei Mỹ Đình,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",05/05/2024,,,,Đầy đủ,,Đông - Nam
185 m²,"12,5 tỷ",4 phòng,3 phòng,Sổ hồng.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Zei Mỹ Đình,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",30/04/2024,,,,Đầy đủ,,
120 m²,36 tỷ,7 phòng,6 phòng,,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",07/05/2024,,,6 tầng,,,
80 m²,18 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại Khu đô thị mới Xa La,"Dự án KĐT Xa La, Hà Đông, Hà Nội",07/05/2024,,,5 tầng,Cơ bản,,
71 m²,16 tỷ,15 phòng,,Sổ đỏ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Phú Mỹ,"Đường Phú Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,9 tầng,Cao cấp,,
"75,6 m²","2,78 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Phương Đông Green Home,"Dự án Phương Đông Green Home, Phường Đức Giang, Long Biên, Hà Nội",11/04/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
"73,75 m²","3,55 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Bình Minh Garden,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",05/05/2024,,,,"Full nội thất nội thất bàn giao full liền tường cao cấp: Tủ bếp trên dưới, bếp từ và hút mùi Hafele, điều hòa, giường, tủ quần áo, sô fa, bàn ăn thiết bị vệ sinh, sàn gỗ, trần thạch cao...",Tây - Bắc,Đông - Nam
49 m²,"12,4 tỷ",,,Sổ đỏ,Hà Nội,Hoàn Kiếm,Nhà riêng tại đường Phan Huy Chú,"Đường Phan Huy Chú, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",07/05/2024,,,5 tầng,,,
71 m²,16 tỷ,15 phòng,,Sổ đỏ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Phú Mỹ,"Đường Phú Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,9 tầng,Cao cấp,,
"75,6 m²","2,78 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Phương Đông Green Home,"Dự án Phương Đông Green Home, Phường Đức Giang, Long Biên, Hà Nội",11/04/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
"73,75 m²","3,55 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Bình Minh Garden,"Dự án Bình Minh Garden, Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",05/05/2024,,,,"Full nội thất nội thất bàn giao full liền tường cao cấp: Tủ bếp trên dưới, bếp từ và hút mùi Hafele, điều hòa, giường, tủ quần áo, sô fa, bàn ăn thiết bị vệ sinh, sàn gỗ, trần thạch cao...",Tây - Bắc,Đông - Nam
49 m²,"12,4 tỷ",,,Sổ đỏ,Hà Nội,Hoàn Kiếm,Nhà riêng tại đường Phan Huy Chú,"Đường Phan Huy Chú, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",07/05/2024,,,5 tầng,,,
32 m²,"4,3 tỷ",,,,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Trần Khát Chân,"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",07/05/2024,,,5 tầng,,,
35 m²,4 tỷ,3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",05/05/2024,,,5 tầng,Đầy đủ,,
60 m²,"7,9 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường 19/5,"Đường 19/5, Phường Văn Quán, Hà Đông, Hà Nội",07/05/2024,,5 m,3 tầng,,,
60 m²,"7,9 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại phố Phùng Hưng,"Phố Phùng Hưng, Phường Văn Quán, Hà Đông, Hà Nội",07/05/2024,,5 m,3 tầng,Đầy đủ,,
59 m²,19 tỷ,6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà mặt phố tại đường Đặng Tiến Đông,"Đường Đặng Tiến Đông, Phường Trung Liệt, Đống Đa, Hà Nội",07/05/2024,"4,5 m",,7 tầng,Đầy đủ,,
55 m²,"9,8 tỷ",5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà riêng tại phường Phúc Lợi,"Phường Phúc Lợi, Long Biên, Hà Nội",07/05/2024,"6,2 m",8 m,6 tầng,Đầy đủ.,,
185 m²,Thỏa thuận,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Zei Mỹ Đình,"Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",30/04/2024,,,,Cơ bản,Tây - Nam,Tây - Bắc
72 m²,"3,2 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Eco City Việt Hưng,"Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội",02/05/2024,,,,Cơ bản.,,
320 m²,145 tỷ,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,"Nhà biệt thự, liền kề tại Khu đô thị Yên Hòa","Dự án Yên Hòa, Đường Trần Kim Xuyến, Phường Yên Hòa, Cầu Giấy, Hà Nội",07/05/2024,20 m,10 m,4 tầng,Đầy đủ,,
77 m²,"3,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",30/04/2024,,,,Cơ bản,,
82 m²,"2,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Ruby City,"Dự án Ruby City, Phường Giang Biên, Long Biên, Hà Nội",30/04/2024,,,,Cơ bản để lại nội thất full đồ.,,
302 m²,48 tỷ,10 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Nhà mặt phố tại phố Việt Hưng,"Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội",30/04/2024,11 m,,4 tầng,,,
73 m²,"3,1 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Eco City Việt Hưng,"Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội",02/05/2024,,,,"Sàn gỗ nhập khẩu Đức, trần thạch cao. Thiết bị vệ sinh ToTo, vách tắm đứng, tủ gỗ Lavabo. Điều hòa 2 chiều Mitsubishi. Tủ bếp trên dưới, bếp từ, hút mùi Hafele. Hệ thống cửa chính, cửa ngăn phòng, thi",,
"130,4 m²","35,9 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Khuất Duy Tiến,"Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội",14/04/2024,"4,8 m",50 m,4 tầng,Đầy đủ,Tây - Nam,Tây - Nam
50 m²,"6,9 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Lê Văn Hiến,"Đường Lê Văn Hiến, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",06/05/2024,"5,9 m",7 m,4 tầng,,,
283 m²,128 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại đường Quán Thánh,"Đường Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội",07/05/2024,16 m,30 m,3 tầng,Đầy đủ.,Tây - Nam,
"130,4 m²","35,9 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Khuất Duy Tiến,"Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội",14/04/2024,"4,8 m",50 m,4 tầng,Đầy đủ,Tây - Nam,Tây - Nam
50 m²,"6,9 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Lê Văn Hiến,"Đường Lê Văn Hiến, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",06/05/2024,"5,9 m",7 m,4 tầng,,,
283 m²,128 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại đường Quán Thánh,"Đường Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội",07/05/2024,16 m,30 m,3 tầng,Đầy đủ.,Tây - Nam,
60 m²,"22,8 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phường Quan Hoa,"Phường Quan Hoa, Cầu Giấy, Hà Nội",07/05/2024,"4,5 m",,7 tầng,,,
130 m²,135 triệu/m²,4 phòng,2 phòng,"Sổ đỏ, chính chủ.",Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",07/05/2024,7 m,6 m,1 tầng,,Tây - Bắc,
35 m²,"7,5 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Viết Xuân,"Đường Nguyễn Viết Xuân, Phường Khương Mai, Thanh Xuân, Hà Nội",07/05/2024,"3,5 m",,5 tầng,,,
60 m²,"12,8 tỷ",4 phòng,5 phòng,Sổ đỏ chính chủ,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Chùa Quỳnh,"Phố Chùa Quỳnh, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",07/05/2024,"3,2 m",10 m,5 tầng,Đầy đủ,,
80 m²,4 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",25/04/2024,,,,Đầy đủ,,
138 m²,"7,5 tỷ",3 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",27/04/2024,,,,Đầy đủ,,Nam
110 m²,"22,9 tỷ",6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Cù Chính Lan,"Đường Cù Chính Lan, Phường Khương Mai, Thanh Xuân, Hà Nội",07/05/2024,12 m,7 m,4 tầng,Cơ bản,,
67 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội",03/05/2024,,,,Đầy đủ,,
69 m²,"12,68 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Hà Đông,Nhà riêng tại Khu đô thị mới Văn Quán,"Dự án KĐT Văn Quán, Đường Nguyễn Khuyến, Phường Phúc La, Hà Đông, Hà Nội",04/05/2024,"4,3 m",7 m,1 tầng,Cơ bản.,,
105 m²,"68,5 tỷ",5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Ba Đình,Nhà mặt phố tại đường Đào Tấn,"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",07/05/2024,"6,1 m",20 m,3 tầng,,,
50 m²,"8,6 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hào Nam,"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,6 m,8 m,4 tầng,Cơ bản,,
80 m²,"19,9 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,6 m,8 m,4 tầng,Cơ bản,,
76 m²,"13,5 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Xiển,"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",05/05/2024,"4,4 m",8 m,4 tầng,,,
156 m²,31 tỷ,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",05/05/2024,"7,3 m",,1 tầng,,,
30 m²,"4,85 tỷ",3 phòng,4 phòng,,Hà Nội,Hoàng Mai,Nhà riêng tại đường Hoàng Mai,"Đường Hoàng Mai, Phường Tương Mai, Hoàng Mai, Hà Nội",07/05/2024,,,5 tầng,Chủ để lại toàn bộ nội thất.,,
45 m²,"6,45 tỷ",6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoàng Mai,Nhà riêng tại đường Thịnh Liệt,"Đường Thịnh Liệt, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",07/05/2024,,,6 tầng,Đầy đủ.,,
32 m²,"4,65 tỷ",3 phòng,4 phòng,Sổ đỏ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Nguyễn Chính,"Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",07/05/2024,,,5 tầng,,,
156 m²,31 tỷ,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",05/05/2024,"7,3 m",,1 tầng,,,
