Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Số toilet,Hướng nhà,Hướng ban công
48 m²,Thỏa thuận,4 m,6 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đan Phượng,Nhà riêng tại Khu đô thị mới Tân Tây Đô,"Dự án Khu đô thị mới Tân Tây Đô, Huyện Đan Phượng, Hà Nội",06/05/2024,,Đông - Bắc,
50 m²,"2,4 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại The Zenpark,"Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,2 phòng,,
76 m²,Thỏa thuận,,,,2 phòng,Hợp đồng mua bán,Full nội thất mới,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh,"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",06/05/2024,2 phòng,,Đông - Nam
56 m²,"7,6 tỷ",5 m,,4 tầng,,Sổ đỏ,,Hà Nội,Đống Đa,Nhà riêng tại phố Chùa Bộc,"Phố Chùa Bộc, Phường Khương Thượng, Đống Đa, Hà Nội",06/05/2024,,,
45 m²,"14,2 tỷ",,8 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Ngọc Phách,"Nhà số 4 ngõ 36/12, Phố Hoàng Ngọc Phách, Phường Láng Hạ, Đống Đa, Hà Nội",22/04/2024,40 phòng,Tây - Nam,
37 m²,"7,45 tỷ","6,7 m",3 m,4 tầng,3 phòng,,,Hà Nội,Đống Đa,Nhà riêng tại đường Láng,"Đường Láng, Phường Thịnh Quang, Đống Đa, Hà Nội",02/05/2024,3 phòng,,
40 m²,Thỏa thuận,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Văn Quán,"Đường Văn Quán, Phường Văn Quán, Hà Đông, Hà Nội",04/05/2024,3 phòng,,
65 m²,"6,6 tỷ",4 m,3 m,4 tầng,5 phòng,Có sổ đỏ.,Nội thất xịn cầu thang gỗ Lim.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Lĩnh Nam,"Ngõ 185, Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",06/05/2024,4 phòng,Đông - Nam,Đông - Nam
67 m²,"4,5 tỷ",,,,2 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại GoldSeason,"GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",04/05/2024,2 phòng,Tây - Bắc,Đông - Nam
"90,5 m²",Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vinhomes D'Capitale,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,,Đông - Nam
106 m²,6 tỷ,,,,3 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Handi Resco Lê Văn Lương,"Dự án Handi Resco Lê văn Lương, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Đông - Nam,Đông - Bắc
100 m²,Thỏa thuận,,,,2 phòng,Đã có sổ,Full nội thất,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Eurowindow Multi Complex,"Eurowindow Multi Complex, 27, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
100 m²,Thỏa thuận,,,,2 phòng,Đã có sổ,Full nội thất,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Eurowindow Multi Complex,"Eurowindow Multi Complex, 27, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
101 m²,Thỏa thuận,,,,3 phòng,,,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại N01-T7 Ngoại Giao Đoàn,"Dự án N01-T7 Ngoại Giao Đoàn, Phố Đỗ Nhuận, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",04/05/2024,,,
62 m²,52 triệu/m²,,,,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",06/05/2024,2 phòng,Đông,Tây
28 m²,"3,85 tỷ","7,8 m",3 m,3 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà riêng tại phường Ngã Tư Sở,"Phường Ngã Tư Sở, Đống Đa, Hà Nội",02/05/2024,2 phòng,,
73 m²,"4,9 tỷ",,,,2 phòng,Đã có,Full,Hà Nội,Thanh Xuân,Căn hộ chung cư tại The Legend Tower 109 Nguyễn Tuân,"Dự án Legend Tower 109 Nguyễn Tuân, Đường Nguyễn Tuân, Phường Nhân Chính, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
107 m²,"5,8 tỷ",,,,3 phòng,Đã có sổ,Full nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Times Tower Lê Văn Lương,"Times Tower Lê Văn Lương, 35, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",05/05/2024,2 phòng,Tây - Bắc,Đông - Nam
122 m²,"6,65 tỷ",,,,3 phòng,Đã có sổ,Full nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Thống Nhất Complex,"Thống Nhất Complex, 82, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",28/04/2024,2 phòng,Tây - Bắc,Đông - Nam
75 m²,"4,8 tỷ",,,,2 phòng,Đã có sổ,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperia Garden,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Đông - Bắc,Tây - Nam
117 m²,"7,75 tỷ",,,,3 phòng,Đã có sổ,Để lại toàn bộ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperia Garden,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",03/05/2024,2 phòng,Đông - Nam,Tây - Bắc
75 m²,"4,9 tỷ",,,,3 phòng,Đã có sổ,Full đồ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Imperia Garden,"Imperia Garden, 203, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Đông - Bắc,Tây - Nam
128 m²,"6,9 tỷ",,,,3 phòng,Đã có sổ,Full,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Times Tower Lê Văn Lương,"Times Tower Lê Văn Lương, 35, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Đông - Nam,Tây - Bắc
85 m²,"5,25 tỷ",,,,3 phòng,Đã có sổ,Full,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Hà Nội Center Point,"Dự án Hà Nội Center Point, Phố Hoàng Đạo Thúy, Phường Nhân Chính, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
50 m²,"1,9 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Láng,"1194, Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",06/05/2024,1 phòng,,
50 m²,"16,4 tỷ",4 m,,6 tầng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Trần Duy Hưng,"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,,,
90 m²,"5,5 tỷ",,,,3 phòng,Đã có sổ,Full,Hà Nội,Thanh Xuân,Căn hộ chung cư tại GoldSeason,"GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
"71,3 m²","4,6 tỷ",,,,2 phòng,Đã có sổ,Full Nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Rivera Park Hà Nội,"Rivera Park Hà Nội, 69, Đường Vũ Trọng Phụng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",27/04/2024,2 phòng,Tây - Nam,Đông - Bắc
125 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Ba Đình,Căn hộ chung cư tại Lancaster Hà Nội,"Dự án Lancaster Hà Nội, Đường Núi Trúc, Phường Giảng Võ, Ba Đình, Hà Nội",02/05/2024,2 phòng,Tây - Bắc,Đông - Nam
34 m²,"5,45 tỷ","4,2 m","2,5 m",4 tầng,2 phòng,,,Hà Nội,Đống Đa,Nhà riêng tại đường Ngô Tất Tố,"Đường Ngô Tất Tố, Phường Văn Miếu, Đống Đa, Hà Nội",02/05/2024,3 phòng,,
67 m²,"16,8 tỷ",7 m,,8 tầng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Lương Định Của,"Phố Lương Định Của, Phường Kim Liên, Đống Đa, Hà Nội",25/04/2024,8 phòng,,
47 m²,"4,38 tỷ",,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Hoàng Mai,Nhà riêng tại đường Ngọc Hồi,"Ngõ 161, Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",06/05/2024,3 phòng,,
"38,5 m²","6,35 tỷ","4,5 m","2,5 m",5 tầng,3 phòng,,,Hà Nội,Đống Đa,Nhà riêng tại phường Trung Phụng,"Phường Trung Phụng, Đống Đa, Hà Nội",02/05/2024,3 phòng,,
47 m²,Thỏa thuận,,,,2 phòng,Sổ đỏ/ Sổ hồng.,- Full nội thất.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại FLC Garden City,"Dự án FLC Garden City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,1 phòng,,
28 m²,"3,35 tỷ",,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hai Bà Trưng,Nhà riêng tại phố Bạch Mai,"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",06/05/2024,,,
130 m²,Thỏa thuận,,,,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Sông Đà Hà Đông Tower,"Sông Đà Hà Đông Tower, 131, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",02/05/2024,2 phòng,Tây - Nam,Đông - Bắc
120 m²,"6,3 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Ba Đình,Căn hộ chung cư tại Artex Building 172 Ngọc Khánh,"Dự án Artex Building 172 Ngọc Khánh, Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",06/05/2024,2 phòng,Đông - Bắc,Tây - Nam
77 m²,"2,9 tỷ",,,,2 phòng,Hợp đồng mua bán,Full nội thất liền tường.,Hà Nội,Đông Anh,Căn hộ chung cư tại Eurowindow River Park,"Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội",06/05/2024,2 phòng,,
40 m²,"1,4 tỷ",,,3 tầng,,,,Hà Nội,Sóc Sơn,Nhà riêng tại đường Tân Trại,"Đường Tân Trại, Xã Phú Cường, Sóc Sơn, Hà Nội",22/04/2024,,,
81 m²,"3,7 tỷ",,,,3 phòng,Đang chờ sổ,Đầy đủ,Hà Nội,Thanh Trì,Căn hộ chung cư tại Tecco Diamond,"Dự án Tecco Diamond, Xã Tứ Hiệp, Thanh Trì, Hà Nội",06/05/2024,2 phòng,Đông - Bắc,Tây - Bắc
130 m²,"25,35 tỷ","8,3 m",17 m,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại đường Đầm Trấu,"Đường Đầm Trấu, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",06/05/2024,4 phòng,,
55 m²,"2,8 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,"Dự án Imperia Smart City, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,,
121 m²,Thỏa thuận,,,,2 phòng,,,Hà Nội,Đống Đa,Căn hộ chung cư tại Hateco Laroma,"Dự án Hateco Laroma, Phường Láng Thượng, Đống Đa, Hà Nội",02/05/2024,2 phòng,,
32 m²,"2,96 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Căn hộ chung cư tại đường Tây Sơn,"Ngõ 167/37, Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội",06/05/2024,1 phòng,Tây - Bắc,Đông - Nam
95 m²,"6,5 tỷ",,,,3 phòng,,,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Vinhomes Times City - Park Hill,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",06/05/2024,,,
96 m²,"4,4 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại La Casta Văn Phú,"Dự án La Casta Văn Phú, Đường Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
120 m²,"6,9 tỷ",,,,3 phòng,,Đầy đủ,Hà Nội,Đống Đa,Căn hộ chung cư tại Sông Hồng Park View,"Dự án Sông Hồng Park View, Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,2 phòng,Tây - Nam,Đông - Bắc
150 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Căn hộ chung cư tại Hà Thành Plaza,"Dự án Hà Thành Plaza, Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",25/04/2024,2 phòng,,Đông - Nam
58 m²,Thỏa thuận,,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Xa La,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",06/05/2024,1 phòng,Tây - Nam,Đông - Bắc
75 m²,"5,2 tỷ",,,,3 phòng,Hợp đồng mua bán.,"Đầy đủ Phân khu Diamond + cao cấp nhất Vinhomes Smart City bàn giao full nội thất nhập khẩu cao cấp Phân khu cao cấp nhất Smart City. Bàn giao sàn gỗ xương cá, hệ thống tủ bếp trên dưới nhập khẩu, điề",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,Đông - Nam,Đông - Nam
105 m²,Thỏa thuận,,,,3 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Iris Garden,"Iris Garden, Số 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,,
70 m²,"2,98 tỷ",,,,3 phòng,Đang chờ sổ,Đầy đủ,Hà Nội,Thanh Trì,Căn hộ chung cư tại Tecco Diamond,"Dự án Tecco Diamond, Xã Tứ Hiệp, Thanh Trì, Hà Nội",06/05/2024,2 phòng,Đông - Bắc,Tây - Bắc
70 m²,"2,98 tỷ",,,,3 phòng,Đang chờ sổ,Đầy đủ,Hà Nội,Thanh Trì,Căn hộ chung cư tại Tecco Diamond,"Dự án Tecco Diamond, Xã Tứ Hiệp, Thanh Trì, Hà Nội",06/05/2024,2 phòng,Đông - Bắc,Tây - Bắc
138 m²,"7,5 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Hà Nội Paragon, số 181, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,,,Đông - Nam
75 m²,"3,2 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Samsora Premier,"Dự án Samsora Premier, Đường Chu Văn An, Phường Yết Kiêu, Hà Đông, Hà Nội",03/05/2024,2 phòng,,
70 m²,"3,75 tỷ",,,,2 phòng,,"Tôi tặng lại toàn bộ nội thất, bao gồm cả đồ điện tử: Tivi, tủ lạnh, máy sấy rời như máy giặt, máy giặt Toshiba, 2 điều hòa, lò nướng, lò vi sóng, bếp từ, máy rửa bát...",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại C14 - Bộ Công An,"Dự án C14 - Bộ Công An, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",06/05/2024,2 phòng,,
100 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Căn hộ chung cư tại The Golden Armor,"Dự án The Golden Armor, Phố Nam Cao, Phường Giảng Võ, Ba Đình, Hà Nội",26/04/2024,2 phòng,Tây - Bắc,Đông - Nam
140 m²,81 tỷ,5 m,8 m,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Mai Hắc Đế,"Phố Mai Hắc Đế, Phường Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",06/05/2024,5 phòng,,
132 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ full nội thất sịn sò, về ở luôn. - Full nội thất như hình, đẹp lung linh, mới 100%.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại C14 - Bộ Công An,"Dự án C14 - Bộ Công An, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",06/05/2024,3 phòng,,Đông - Nam
54 m²,12 tỷ,"4,1 m","5,5 m",5 tầng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Lê Đức Thọ,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",06/05/2024,5 phòng,,
138 m²,"7,3 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,,
100 m²,50 tỷ,7 m,10 m,1 tầng,,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Tây Hồ,Nhà mặt phố tại phố Quảng Khánh,"Phố Quảng Khánh, Phường Quảng An, Tây Hồ, Hà Nội",06/05/2024,,,
118 m²,7 tỷ,,,,3 phòng,Sổ đỏ,"Nội thất: Nhà đã sửa lại toàn bộ vô cùng đẹp, Tủ bếp, tủ âm tường, thiết bị vệ sinh, hệ thống chiếu sáng, sàn gỗ trần thạch cao, ti vi, tủ lạnh, máy giặt...",Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Times City,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",06/05/2024,,,
69 m²,"2,25 tỷ",,,,2 phòng,Đã có sổ hồng.,,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Hải Âu, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Tây - Bắc
45 m²,"4,55 tỷ",,,5 tầng,4 phòng,,,Hà Nội,Thanh Trì,Nhà riêng tại đường Quỳnh Đô,"đường Quỳnh Đô, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",06/05/2024,3 phòng,,
84 m²,"3,9 tỷ",,,,2 phòng,,"Nội thất: Full, sang trọng.",Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Goldmark City,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",29/04/2024,2 phòng,,
74 m²,"4,6 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại A10-A14 Nam Trung Yên,"Dự án A10-A14 Nam Trung Yên, Đường Nguyễn Chánh, Phường Yên Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,,
60 m²,Thỏa thuận,,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,"Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Tây - Bắc
75 m²,"3,8 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,"Đầy đủ Nội thất đã làm đầy đủ đồ xịn, khách mua không cần sửa sang gì thêm.",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Ecolife Capitol,"Dự án Ecolife Capitol, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",03/05/2024,2 phòng,,
17 m²,"4,4 tỷ","3,5 m",15 m,4 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà mặt phố tại phố Nghĩa Dũng,"Phố Nghĩa Dũng, Phường Phúc Xá, Ba Đình, Hà Nội",06/05/2024,3 phòng,,
65 m²,"2,7 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại D22 Bộ Tư Lệnh Biên Phòng,"Dự án D22 Bộ Tư Lệnh Biên Phòng, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Đông - Bắc
96 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại D22 Bộ Tư Lệnh Biên Phòng,"Dự án D22 Bộ Tư Lệnh Biên Phòng, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Bắc,Nam
65 m²,"2,7 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại D22 Bộ Tư Lệnh Biên Phòng,"Dự án D22 Bộ Tư Lệnh Biên Phòng, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Đông - Bắc
96 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại D22 Bộ Tư Lệnh Biên Phòng,"Dự án D22 Bộ Tư Lệnh Biên Phòng, Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Bắc,Nam
"70,4 m²","2,68 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư Nam Xa La,"Dự án Nam Xa la, Phường Phúc La, Hà Đông, Hà Nội",06/05/2024,2 phòng,,
78 m²,"3,6 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mỹ Đình Plaza,"Dự án Mỹ Đình Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Tây - Nam
88 m²,"4,6 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vimeco I - Phạm Hùng,"Dự án Vimeco I - Phạm Hùng, Đường Phạm Hùng, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Tây - Bắc
185 m²,"8,4 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vimeco II - Nguyễn Chánh,"Dự án Vimeco II - Nguyễn Chánh, Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
140 m²,"33,5 tỷ",8 m,7 m,9 tầng,26 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mễ Trì,"đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",06/05/2024,26 phòng,,
66 m²,"3,3 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",04/05/2024,2 phòng,,
103 m²,"3,35 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Khu đô thị mới Xa La,"Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",06/05/2024,2 phòng,Đông - Bắc,Tây - Bắc
88 m²,"4,9 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Thăng Long Number One,"Dự án Thăng Long Number One, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Đông - Nam,Tây - Bắc
120 m²,Thỏa thuận,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Thăng Long Number One,"Dự án Thăng Long Number One, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
31 m²,"1,7 tỷ",,,,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Sola Park,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",06/05/2024,1 phòng,,
192 m²,10 tỷ,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Trung Yên Plaza,"Dự án Trung Yên Plaza, Đường Trung Yên 11, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,3 phòng,Đông,Nam
